LinkRole,[100800] Other operating expenses,,
prefix,name,label,order
in-capmkt,DetailsOfOtherOperatingExpensesAbstract,Details of other operating expenses [Abstract],
in-capmkt,DetailsOfOtherOperatingExpensesTable,Details of other operating expenses [Table],1.0 
in-capmkt,DetailsOfOtherOperatingExpensesAxis,Details of other operating expenses [Axis],1.0 
in-capmkt,OtherOperatingExpensesMember,Other operating expenses [Member],1.0 
in-capmkt,OtherOperatingExpenses1Member,Other operating expenses 1 [Member],1.0 
in-capmkt,OtherOperatingExpenses2Member,Other operating expenses 2 [Member],2.0 
in-capmkt,OtherOperatingExpenses3Member,Other operating expenses 3 [Member],3.0 
in-capmkt,OtherOperatingExpenses4Member,Other operating expenses 4 [Member],4.0 
in-capmkt,OtherOperatingExpenses5Member,Other operating expenses 5 [Member],5.0 
in-capmkt,OtherOperatingExpenses6Member,Other operating expenses 6 [Member],6.0 
in-capmkt,OtherOperatingExpenses7Member,Other operating expenses 7 [Member],7.0 
in-capmkt,OtherOperatingExpenses8Member,Other operating expenses 8 [Member],8.0 
in-capmkt,OtherOperatingExpenses9Member,Other operating expenses 9 [Member],9.0 
in-capmkt,OtherOperatingExpenses10Member,Other operating expenses 10 [Member],10.0 
in-capmkt,DetailsOfOtherOperatingExpensesLineItems,Details of other operating expenses [Line items],2.0 
in-capmkt,DescriptionOfOperatingExpenses,Description of operating expenses,1.0 
in-capmkt,OtherOperatingExpenses,Other operating expenses,2.0 
,,,
,,,
LinkRole,[900000] Axis-Defaults,,
prefix,name,label,order
in-capmkt,DetailsOfOtherOperatingExpensesAxis,Details of other operating expenses [Axis],
in-capmkt,OtherOperatingExpensesMember,Other operating expenses [Member],1.0 
in-capmkt,ReportableSegmentsAxis,Reportable segments [Axis],
in-capmkt,ReportableSegmentsMember,Reportable segments [Member],1.0 
in-capmkt,ReportableSegmentsFinanceCostsAxis,Reportable segments finance costs [Axis],
in-capmkt,ReportableSegmentsMember,Reportable segments [Member],1.0 
in-capmkt,ReportableSegmentAssetsAxis,Reportable segment assets [Axis],
in-capmkt,ReportableSegmentsMember,Reportable segments [Member],1.0 
in-capmkt,ReportableSegmentLiabilitiesAxis,Reportable segment liabilities [Axis],
in-capmkt,ReportableSegmentsMember,Reportable segments [Member],1.0 
in-capmkt,AuditedOrAdjustedAxis,Audited or adjusted [Axis],
in-capmkt,AuditedOrAdjustedMember,Audited/Adjusted [Member],1.0 
,,,
,,,
LinkRole,[100400] Segment information,,
prefix,name,label,order
in-capmkt,DisclosuresRelatingToSegmentRevenueAbstract,Disclosures relating to segment revenue [Abstract],
in-capmkt,DisclosuresRelatingToSegmentRevenueTable,Disclosures relating to segment revenue [Table],1.0 
in-capmkt,ReportableSegmentsAxis,Reportable segments [Axis],1.0 
in-capmkt,ReportableSegmentsMember,Reportable segments [Member],1.0 
in-capmkt,ReportableSegments1Member,Reportable segments 1 [Member],1.0 
in-capmkt,ReportableSegments2Member,Reportable segments 2 [Member],2.0 
in-capmkt,ReportableSegments3Member,Reportable segments 3 [Member],3.0 
in-capmkt,ReportableSegments4Member,Reportable segments 4 [Member],4.0 
in-capmkt,ReportableSegments5Member,Reportable segments 5 [Member],5.0 
in-capmkt,ReportableSegments6Member,Reportable segments 6 [Member],6.0 
in-capmkt,ReportableSegments7Member,Reportable segments 7 [Member],7.0 
in-capmkt,ReportableSegments8Member,Reportable segments 8 [Member],8.0 
in-capmkt,ReportableSegments9Member,Reportable segments 9 [Member],9.0 
in-capmkt,ReportableSegments10Member,Reportable segments 10 [Member],10.0 
in-capmkt,ReportableSegments11Member,Reportable segments 11 [Member],11.0 
in-capmkt,ReportableSegments12Member,Reportable segments 12 [Member],12.0 
in-capmkt,ReportableSegments13Member,Reportable segments 13 [Member],13.0 
in-capmkt,ReportableSegments14Member,Reportable segments 14 [Member],14.0 
in-capmkt,ReportableSegments15Member,Reportable segments 15 [Member],15.0 
in-capmkt,DisclosuresRelatingToSegmentRevenueLineItems,Disclosures relating to segment revenue [Line items],2.0 
in-capmkt,DescriptionOfReportableSegment,Description of reportable segment,1.0 
in-capmkt,SegmentRevenue,Segment revenue,2.0 
,,,
,,,
LinkRole,[100410] Segment information,,
prefix,name,label,order
in-capmkt,DisclosuresRelatingToSegmentResultAbstract,Disclosures relating to segment result [Abstract],
in-capmkt,DisclosuresRelatingToSegmentResultTable,Disclosures relating to segment result [Table],1.0 
in-capmkt,ReportableSegmentsFinanceCostsAxis,Reportable segments finance costs [Axis],1.0 
in-capmkt,ReportableSegmentsMember,Reportable segments [Member],1.0 
in-capmkt,ReportableSegments1Member,Reportable segments 1 [Member],1.0 
in-capmkt,ReportableSegments2Member,Reportable segments 2 [Member],2.0 
in-capmkt,ReportableSegments3Member,Reportable segments 3 [Member],3.0 
in-capmkt,ReportableSegments4Member,Reportable segments 4 [Member],4.0 
in-capmkt,ReportableSegments5Member,Reportable segments 5 [Member],5.0 
in-capmkt,ReportableSegments6Member,Reportable segments 6 [Member],6.0 
in-capmkt,ReportableSegments7Member,Reportable segments 7 [Member],7.0 
in-capmkt,ReportableSegments8Member,Reportable segments 8 [Member],8.0 
in-capmkt,ReportableSegments9Member,Reportable segments 9 [Member],9.0 
in-capmkt,ReportableSegments10Member,Reportable segments 10 [Member],10.0 
in-capmkt,ReportableSegments11Member,Reportable segments 11 [Member],11.0 
in-capmkt,ReportableSegments12Member,Reportable segments 12 [Member],12.0 
in-capmkt,ReportableSegments13Member,Reportable segments 13 [Member],13.0 
in-capmkt,ReportableSegments14Member,Reportable segments 14 [Member],14.0 
in-capmkt,ReportableSegments15Member,Reportable segments 15 [Member],15.0 
in-capmkt,DisclosuresRelatingToSegmentResultLineItems,Disclosures relating to segment result [Line items],2.0 
in-capmkt,DescriptionOfReportableSegment,Description of reportable segment,1.0 
in-capmkt,SegmentProfitLossBeforeTaxAndFinanceCosts,Segment profit (loss) before tax and finance costs,2.0 
,,,
,,,
LinkRole,[100420] Segment information,,
prefix,name,label,order
in-capmkt,DisclosuresRelatingToSegmentAssetsAbstract,Disclosures relating to segment assets [Abstract],
in-capmkt,DisclosuresRelatingToSegmentAssetsTable,Disclosures relating to segment assets [Table],1.0 
in-capmkt,ReportableSegmentAssetsAxis,Reportable segment assets [Axis],1.0 
in-capmkt,ReportableSegmentsMember,Reportable segments [Member],1.0 
in-capmkt,ReportableSegments1Member,Reportable segments 1 [Member],1.0 
in-capmkt,ReportableSegments2Member,Reportable segments 2 [Member],2.0 
in-capmkt,ReportableSegments3Member,Reportable segments 3 [Member],3.0 
in-capmkt,ReportableSegments4Member,Reportable segments 4 [Member],4.0 
in-capmkt,ReportableSegments5Member,Reportable segments 5 [Member],5.0 
in-capmkt,ReportableSegments6Member,Reportable segments 6 [Member],6.0 
in-capmkt,ReportableSegments7Member,Reportable segments 7 [Member],7.0 
in-capmkt,ReportableSegments8Member,Reportable segments 8 [Member],8.0 
in-capmkt,ReportableSegments9Member,Reportable segments 9 [Member],9.0 
in-capmkt,ReportableSegments10Member,Reportable segments 10 [Member],10.0 
in-capmkt,ReportableSegments11Member,Reportable segments 11 [Member],11.0 
in-capmkt,ReportableSegments12Member,Reportable segments 12 [Member],12.0 
in-capmkt,ReportableSegments13Member,Reportable segments 13 [Member],13.0 
in-capmkt,ReportableSegments14Member,Reportable segments 14 [Member],14.0 
in-capmkt,ReportableSegments15Member,Reportable segments 15 [Member],15.0 
in-capmkt,DisclosuresRelatingToSegmentAssetsLineItems,Disclosures relating to segment assets [Line items],2.0 
in-capmkt,DescriptionOfReportableSegment,Description of reportable segment,1.0 
in-capmkt,SegmentAssets,Segment assets,2.0 
,,,
,,,
LinkRole,[100430] Segment information,,
prefix,name,label,order
in-capmkt,DisclosuresRelatingToSegmentLiabilitiesAbstract,Disclosures relating to segment liabilities [Abstract],
in-capmkt,DisclosuresRelatingToSegmentLiabilitiesTable,Disclosures relating to segment liabilities [Table],1.0 
in-capmkt,ReportableSegmentLiabilitiesAxis,Reportable segment liabilities [Axis],1.0 
in-capmkt,ReportableSegmentsMember,Reportable segments [Member],1.0 
in-capmkt,ReportableSegments1Member,Reportable segments 1 [Member],1.0 
in-capmkt,ReportableSegments2Member,Reportable segments 2 [Member],2.0 
in-capmkt,ReportableSegments3Member,Reportable segments 3 [Member],3.0 
in-capmkt,ReportableSegments4Member,Reportable segments 4 [Member],4.0 
in-capmkt,ReportableSegments5Member,Reportable segments 5 [Member],5.0 
in-capmkt,ReportableSegments6Member,Reportable segments 6 [Member],6.0 
in-capmkt,ReportableSegments7Member,Reportable segments 7 [Member],7.0 
in-capmkt,ReportableSegments8Member,Reportable segments 8 [Member],8.0 
in-capmkt,ReportableSegments9Member,Reportable segments 9 [Member],9.0 
in-capmkt,ReportableSegments10Member,Reportable segments 10 [Member],10.0 
in-capmkt,ReportableSegments11Member,Reportable segments 11 [Member],11.0 
in-capmkt,ReportableSegments12Member,Reportable segments 12 [Member],12.0 
in-capmkt,ReportableSegments13Member,Reportable segments 13 [Member],13.0 
in-capmkt,ReportableSegments14Member,Reportable segments 14 [Member],14.0 
in-capmkt,ReportableSegments15Member,Reportable segments 15 [Member],15.0 
in-capmkt,DisclosuresRelatingToSegmentLiabilitiesLineItems,Disclosures relating to segment liabilities [Line items],2.0 
