‹,Schedule Name
1,[100100] Disclosure of general information about company
2,[100200] Quarterly and half yearly financial result format  [Banking]
3,[100300] Statement of assets and liabilities  [Banking]
4,[100400] Segment information
5,[100600] Cash flow statementdirect
6,[100700] Cash flow statement indirect
7,[100800] Other operating expenses
8,[100900] Statement of deviation or variation in utilisation of funds raised
9,[101000] Disclosure Relating to Outstanding Default on Loans and Debt Securities
10,[101100] Impact of audit qualification
11,[101200] Financial details of the company
12,[101300] Other financial item as felt appropriate by the management
13,[101400] Audit qualification
14,[101500] Disclosure of Related Parties Transactions
